Year,Passengers Originating - Sub. (In Millions),Passengers Originating - Non-Sub. (In Millions),Passengers Originating - Total (In Millions),Passenger Kilometres - Sub. (In Millions),Passenger Kilometres - Non-Sub. (In Millions),Passenger Kilometres - Total (In Millions),Lead (In kilometres) (Av. distance travelled by a pass.) - Sub.,Lead (In kilometres) (Av. distance travelled by a pass.) - Non-Sub.,Lead (In kilometres) (Av. distance travelled by a pass.) - Total,Earnings (Rupees in crores),Average rate per passenger km. (in paise)
1950-51,412,872,1284,6551,59966,66517,15.9,68.8,51.8,98.2,1.48
1955-56,499,776,1275,8165,54235,62400,16.4,69.9,48.9,107.7,1.72
1960-61,680,914,1594,11770,65895,77665,17.3,72.1,48.7,131.6,1.71
1961-62,764,928,1692,13268,68617,81885,17.4,73.9,48.4,150.9,1.85
1962-63,808,942,1750,13561,70430,83991,16.8,74.8,48.0,169.2,2.01
1963-64,882,990,1872,14460,74128,88588,16.4,74.9,47.3,185.2,2.09
1964-65,954,1038,1992,15791,77698,93489,16.6,74.8,46.9,199.3,2.13
1965-66,1018,1064,2082,17164,79130,96294,16.9,74.4,46.2,219.2,2.28
1966-67,1081,1111,2192,18469,83676,102145,17.1,75.3,46.6,229.3,2.25
1967-68,1106,1151,2257,19068,88095,107163,17.2,76.5,47.4,252.6,2.36
1968-69,1084,1129,2213,19515,87425,106940,18.0,77.5,48.3,265.1,2.48
1969-70,1158,1180,2338,22163,91219,113382,19.1,77.3,48.5,278.9,2.46
1970-71,1227,1204,2431,23052,95068,118120,18.8,78.9,48.6,295.5,2.50
1971-72,1275,1261,2536,24250,101079,125329,19.0,80.2,49.4,320.1,2.55
1972-73,1385,1268,2653,26596,106931,133527,19.2,84.3,50.3,343.8,2.57
1973-74,1437,1217,2654,28037,107627,135664,19.5,88.5,51.1,367.1,2.71
1974-75,1373,1056,2429,27157,99097,126254,19.8,93.8,52.0,412.6,3.27
1975-76,1639,1306,2945,32862,115899,148761,20.1,88.7,50.5,514.1,3.46
1976-77,1802,1498,3300,37082,126754,163836,20.6,84.6,49.6,569.3,3.47
1977-78,1928,1576,3504,39433,137202,176635,20.4,87.1,50.4,621.7,3.52
1978-79,2113,1606,3719,43440,149506,192946,20.6,93.1,51.9,672.8,3.49
1979-80,1903,1602,3505,38730,159927,198657,20.4,99.8,56.7,738.8,3.72
1980-81,2000,1613,3613,41086,167472,208558,20.5,103.9,57.7,827.5,3.97
1981-82,2064,1640,3704,43965,176822,220787,21.3,107.8,59.6,988.6,4.48
1982-83,2029,1626,3655,45789,181141,226930,22.6,111.4,62.1,1161.6,5.12
1983-84,1834,1491,3325,42127,180808,222935,23.4,121.3,67.0,1351.9,6.06
1984-85,1884,1449,3333,44264,182318,226582,23.5,125.8,68.0,1456.8,6.43
1985-86,1884,1549,3433,45439,195175,240614,24.1,126.0,70.1,1719.4,7.15
1986-87,2017,1577,3594,48479,208056,256535,24.0,131.9,71.4,1939.7,7.56
1987-88,2155,1637,3792,51757,217632,269389,24.0,133.0,71.0,2058.1,7.64
1988-89,2005,1495,3500,51912,211819,263731,25.9,141.6,75.3,2453.4,9.30
1989-90,2109,1544,3653,54803,226045,280848,26.0,146.4,76.9,2666.4,9.49
1990-91,2259,1599,3858,59578,236066,295644,26.4,147.6,76.6,3144.7,10.64
1991-92,2412,1637,4049,63390,251174,314564,26.3,153.4,77.7,3681.6,11.70
1992-93,2282,1467,3749,60448,239655,300103,26.5,163.3,80.0,4311.2,14.37
1993-94,2302,1406,3708,63045,233200,296245,27.4,165.9,79.9,4891.2,16.51
1994-95,2430,1485,3915,67989,251376,319365,28.0,169.3,81.6,5458.8,17.09
1995-96,2484,1534,4018,73292,268707,341999,29.5,175.2,85.1,6113.0,17.87
1996-97,2578,1575,4153,76543,280470,357013,29.7,178.1,86.0,6616.1,18.53
1997-98,2657,1691,4348,78844,301053,379897,29.7,178.0,87.4,7554.0,19.88
1998-99,2668,1743,4411,82786,321098,403884,31.0,184.2,91.6,8526.7,21.11
1999-00,2771,1814,4585,85066,345600,430666,30.7,190.5,93.9,9555.6,22.19
2000-01,2861,1972,4833,88872,368150,457022,31.1,186.7,94.6,10483.2,22.90
2001-02,2999,2094,5093,92868,398044,490912,31.0,190.1,96.4,11162.2,23.00
2002-03,2934,2037,4971,90266,424778,515044,30.8,208.6,103.6,12540.8,24.30
2003-04,2986,2126,5112,95981,445227,541208,32.1,209.4,105.9,13259.8,24.5
2004-05,3178,2200,5378,103759,471943,575702,32.7,214.5,107.0,14072.5,24.4
2005-06,3329,2396,5725,106419,509195,615614,32.0,212.6,107.5,15080.8,24.5
2006-07,3514,2705,6219,111897,582867,694764,31.8,215.5,111.7,17176.0,24.7
2007-08,3689,2835,6524,119842,650114,769956,32.5,229.3,118.0,19783.3,25.7
2008-09,3802,3118,6920,124836,713196,838032,32.8,228.7,121.1,21866.5,26.1
2009-10,3876,3370,7246,130917,772548,903465,33.8,229.2,124.7,23414.4,25.9
2010-11,4061,3590,7651,137127,841381,978508,33.8,234.4,127.9,25705.6,26.3
2011-12,4377,3847,8224,144057,902465,1046522,32.9,234.6,127.2,28246.4,27.0
2012-13,4477,3944,8421,145654,952449,1098103,32.5,241.5,130.4,31322.8,28.5
2013-14,4552,3845,8397,168589,990153,1158742,37.0,257.5,138.0,36532.3,31.5
