edu hr wage famearn selfempl salaried  married numkid age locunemp
14.0 1924.0 8.8 35809.6 1.0 0.0 1.0 2.0 38.0 5.4 
14.0 2717.0 8.2 39843.0 0.0 0.0 1.0 2.0 39.0 4.6 
14.0 2844.0 3.2 21504.5 1.0 0.0 1.0 1.0 40.0 4.5 
13.0 1480.0 17.4 27197.3 0.0 1.0 1.0 0.0 31.0 7.8 
13.0 2005.0 15.7 33289.8 0.0 0.0 1.0 0.0 32.0 7.2 
13.0 2120.0 17.7 43754.6 0.0 0.0 1.0 0.0 33.0 6.7 
11.0 0.0 15.6 2763.8 0.0 0.0 1.0 0.0 56.0 7.8 
11.0 1535.0 13.6 20951.6 0.0 0.0 1.0 0.0 57.0 9.7 
11.0 1440.0 15.4 22161.4 0.0 0.0 1.0 0.0 58.0 10.8 
12.0 3064.0 11.4 57679.9 0.0 1.0 1.0 2.0 49.0 9.1 
12.0 4296.0 9.0 64513.5 0.0 1.0 1.0 2.0 50.0 9.0 
12.0 3857.0 7.0 49550.7 0.0 1.0 1.0 2.0 51.0 8.1 
12.0 1672.0 12.2 30882.8 0.0 1.0 1.0 1.0 43.0 9.1 
12.0 1988.0 9.4 28517.5 0.0 1.0 1.0 1.0 44.0 9.0 
12.0 2016.0 9.6 29434.9 0.0 1.0 1.0 1.0 45.0 8.1 
12.0 2420.0 13.4 34247.5 0.0 0.0 1.0 0.0 53.0 8.6 
12.0 2580.0 12.6 33289.8 0.0 0.0 1.0 0.0 54.0 7.9 
12.0 2600.0 15.5 40345.1 0.0 0.0 1.0 0.0 55.0 6.7 
14.0 2410.0 24.4 58881.6 0.0 1.0 1.0 3.0 37.0 6.0 
14.0 2160.0 35.6 76822.6 0.0 1.0 1.0 3.0 38.0 6.5 
14.0 2220.0 26.6 59131.2 0.0 1.0 1.0 3.0 39.0 5.9 
12.0 2703.0 1.9 22260.8 1.0 0.0 1.0 1.0 33.0 7.1 
12.0 2500.0 6.4 35149.8 1.0 0.0 1.0 1.0 34.0 6.8 
12.0 2783.0 2.2 25447.0 1.0 0.0 1.0 1.0 35.0 6.2 
14.0 2328.0 19.7 45807.5 0.0 1.0 1.0 0.0 57.0 9.3 
14.0 2040.0 20.3 41321.2 0.0 1.0 1.0 0.0 58.0 9.5 
14.0 2290.0 15.9 36304.9 0.0 0.0 1.0 0.0 59.0 9.3 
14.0 2058.0 20.4 42058.3 0.0 1.0 1.0 3.0 42.0 7.2 
14.0 1928.0 21.1 40739.3 0.0 1.0 1.0 3.0 43.0 6.5 
14.0 1999.0 20.5 40921.3 0.0 1.0 1.0 2.0 44.0 6.3 
17.0 2490.0 16.2 47465.8 0.0 1.0 1.0 0.0 26.0 9.3 
17.0 2227.0 19.1 42485.2 0.0 1.0 1.0 1.0 27.0 9.5 
17.0 2359.0 19.5 46027.6 0.0 1.0 1.0 1.0 28.0 9.3 
12.0 2214.0 16.4 36290.3 0.0 1.0 1.0 2.0 32.0 6.3 
12.0 2178.0 18.7 47723.1 0.0 1.0 1.0 2.0 33.0 6.0 
12.0 2254.0 20.2 52278.2 0.0 1.0 1.0 2.0 34.0 5.3 
4.0 1932.0 9.9 30227.9 0.0 0.0 1.0 1.0 54.0 8.6 
4.0 1952.0 9.5 31631.1 0.0 0.0 1.0 1.0 55.0 8.0 
4.0 1920.0 8.0 29011.0 0.0 0.0 1.0 1.0 56.0 8.0 
14.0 1864.0 17.6 38152.9 0.0 0.0 1.0 2.0 48.0 7.8 
14.0 1738.0 21.4 39714.9 0.0 0.0 1.0 2.0 49.0 7.2 
14.0 2115.0 16.7 40345.1 0.0 0.0 1.0 2.0 50.0 6.7 
9.0 1945.0 13.6 63688.3 0.0 0.0 1.0 0.0 49.0 6.3 
9.0 1840.0 14.9 64123.6 0.0 0.0 1.0 0.0 50.0 6.0 
9.0 1970.0 13.3 65347.8 0.0 0.0 1.0 0.0 51.0 5.7 
11.0 3760.0 9.6 47585.9 0.0 0.0 0.0 0.0 58.0 6.2 
11.0 2133.0 17.5 46559.1 0.0 0.0 1.0 0.0 59.0 5.7 
11.0 2263.0 16.6 48868.8 0.0 0.0 1.0 0.0 60.0 5.0 
16.0 2196.0 18.1 39654.9 0.0 0.0 1.0 3.0 35.0 11.1 
16.0 1750.0 28.5 49934.7 0.0 0.0 1.0 3.0 36.0 8.9 
16.0 1715.0 30.9 52960.1 0.0 0.0 1.0 4.0 37.0 9.8 
17.0 1388.0 18.2 57827.7 0.0 1.0 1.0 0.0 38.0 6.5 
17.0 1440.0 18.6 62010.9 0.0 1.0 1.0 0.0 39.0 5.9 
17.0 1524.0 22.6 87566.0 0.0 1.0 1.0 0.0 40.0 6.0 
16.0 1800.0 12.7 28379.7 0.0 1.0 1.0 1.0 41.0 6.1 
16.0 2080.0 7.7 23628.8 0.0 1.0 1.0 1.0 42.0 5.4 
16.0 2048.0 11.6 30853.2 0.0 1.0 1.0 1.0 43.0 5.3 
15.0 2186.0 27.5 88923.2 0.0 1.0 1.0 0.0 45.0 5.0 
15.0 2272.0 34.1 107668.0 0.0 1.0 1.0 0.0 46.0 5.6 
15.0 1828.0 41.0 119402.3 0.0 1.0 1.0 0.0 47.0 5.0 
14.0 876.0 15.6 36530.6 1.0 0.0 1.0 1.0 47.0 7.2 
14.0 2295.0 7.6 38411.3 0.0 0.0 1.0 1.0 48.0 7.9 
14.0 960.0 24.9 45459.3 1.0 0.0 1.0 1.0 49.0 8.7 
16.0 2286.0 21.6 65662.6 1.0 0.0 1.0 2.0 39.0 5.9 
16.0 2370.0 7.9 21166.9 1.0 0.0 1.0 2.0 40.0 7.0 
16.0 2268.0 11.9 28355.3 1.0 0.0 1.0 2.0 41.0 8.9 
17.0 2090.0 35.0 85077.9 0.0 1.0 1.0 0.0 53.0 7.8 
17.0 2024.0 42.0 96610.2 0.0 1.0 1.0 0.0 54.0 7.2 
17.0 2156.0 34.3 98874.0 0.0 1.0 1.0 0.0 55.0 5.0 
17.0 1944.0 18.5 98536.5 0.0 1.0 1.0 0.0 29.0 7.2 
17.0 2220.0 17.9 100335.0 0.0 1.0 1.0 0.0 30.0 6.5 
17.0 2000.0 19.9 98874.0 0.0 1.0 1.0 0.0 31.0 6.3 
16.0 5140.0 23.4 146603.2 0.0 1.0 1.0 2.0 47.0 4.6 
16.0 2563.0 29.5 102430.1 0.0 1.0 1.0 1.0 48.0 4.9 
16.0 2541.0 41.2 134105.0 0.0 1.0 1.0 1.0 49.0 3.8 
12.0 1548.0 1.5 2403.3 0.0 0.0 0.0 2.0 53.0 4.8 
12.0 1650.0 3.6 5920.0 0.0 0.0 0.0 0.0 54.0 3.9 
12.0 728.0 9.8 7131.4 0.0 0.0 0.0 0.0 55.0 3.8 
12.0 2080.0 10.2 21269.5 1.0 1.0 1.0 3.0 31.0 8.6 
12.0 1920.0 10.7 20602.4 1.0 1.0 1.0 3.0 32.0 7.9 
12.0 1575.0 12.8 20115.8 1.0 1.0 1.0 3.0 33.0 6.7 
13.0 1957.0 14.7 38477.3 0.0 1.0 1.0 0.0 51.0 8.6 
13.0 2490.0 13.9 43882.0 0.0 1.0 1.0 0.0 52.0 7.9 
13.0 1974.0 16.7 39731.4 0.0 1.0 1.0 0.0 53.0 6.7 
12.0 2000.0 10.5 21066.4 0.0 0.0 1.0 0.0 55.0 9.4 
12.0 1776.0 12.8 22697.6 0.0 0.0 1.0 0.0 56.0 8.9 
12.0 1800.0 12.6 22729.7 0.0 0.0 1.0 0.0 57.0 8.1 
14.0 1920.0 20.3 45254.7 0.0 1.0 1.0 2.0 54.0 11.2 
14.0 2695.0 14.7 45751.3 0.0 1.0 1.0 2.0 55.0 9.9 
14.0 2500.0 22.7 64779.5 0.0 1.0 1.0 1.0 56.0 8.8 
17.0 2160.0 27.8 65454.7 0.0 1.0 1.0 1.0 31.0 4.8 
17.0 1945.0 32.3 66534.2 0.0 1.0 1.0 2.0 32.0 3.9 
17.0 2294.0 28.2 64779.5 0.0 1.0 1.0 2.0 33.0 3.8 
13.0 1956.0 22.0 44897.8 0.0 1.0 1.0 2.0 40.0 9.1 
13.0 1980.0 21.4 43649.2 0.0 1.0 1.0 2.0 41.0 9.0 
13.0 1964.0 33.3 66230.8 0.0 1.0 1.0 2.0 42.0 8.1 
15.0 2450.0 27.0 66692.4 0.0 1.0 1.0 2.0 54.0 5.2 
15.0 2205.0 19.5 43067.2 0.0 0.0 1.0 1.0 55.0 7.1 
15.0 2585.0 14.5 42049.9 0.0 1.0 1.0 1.0 56.0 8.2 
12.0 2600.0 6.9 24033.3 0.0 0.0 1.0 1.0 27.0 6.3 
12.0 2680.0 5.4 23595.0 0.0 0.0 1.0 1.0 28.0 6.0 
12.0 2495.0 2.6 12968.4 1.0 0.0 1.0 1.0 29.0 5.7 
17.0 1984.0 29.1 57915.4 0.0 0.0 1.0 0.0 53.0 7.8 
17.0 1952.0 32.2 63083.0 0.0 1.0 1.0 0.0 54.0 7.2 
17.0 1944.0 35.1 68365.1 0.0 1.0 1.0 0.0 55.0 6.7 
12.0 2035.0 7.6 15549.5 0.0 1.0 0.0 0.0 33.0 6.7 
12.0 2024.0 8.4 16994.1 0.0 1.0 0.0 0.0 34.0 5.4 
12.0 1872.0 9.5 17786.0 0.0 1.0 0.0 0.0 35.0 5.3 
17.0 1786.0 33.7 84116.6 1.0 0.0 1.0 0.0 58.0 9.1 
17.0 2133.0 8.8 36161.3 1.0 0.0 1.0 0.0 59.0 9.0 
17.0 2208.0 20.6 57807.2 1.0 0.0 1.0 0.0 60.0 8.1 
10.0 2400.0 10.0 28840.0 0.0 0.0 1.0 2.0 40.0 6.2 
10.0 2080.0 12.3 37247.3 0.0 1.0 1.0 1.0 41.0 5.7 
10.0 2600.0 8.7 35231.0 0.0 1.0 1.0 0.0 42.0 5.0 
16.0 2058.0 21.0 43259.9 0.0 1.0 0.0 0.0 37.0 5.9 
16.0 2205.0 21.1 46559.1 0.0 1.0 0.0 0.0 38.0 7.0 
16.0 2169.0 21.5 46595.8 0.0 1.0 0.0 0.0 39.0 8.9 
15.0 3120.0 5.7 17811.1 1.0 0.0 1.0 2.0 38.0 8.9 
15.0 2400.0 13.2 31660.2 1.0 0.0 1.0 2.0 39.0 8.7 
15.0 2580.0 6.3 16240.3 1.0 1.0 1.0 2.0 40.0 8.7 
13.0 1917.0 11.3 42058.3 0.0 1.0 1.0 0.0 58.0 5.6 
13.0 1960.0 11.7 38772.1 0.0 1.0 1.0 0.0 59.0 5.9 
13.0 2100.0 10.8 23752.5 0.0 1.0 1.0 0.0 60.0 7.4 
12.0 3072.0 1.0 15020.8 1.0 0.0 1.0 2.0 38.0 9.1 
12.0 2570.0 1.4 19554.8 1.0 0.0 1.0 2.0 39.0 9.0 
12.0 2007.0 1.0 14206.0 1.0 0.0 1.0 2.0 40.0 8.1 
12.0 2700.0 12.8 48899.4 0.0 0.0 1.0 2.0 32.0 6.7 
12.0 2205.0 9.8 32711.3 1.0 0.0 1.0 2.0 33.0 5.4 
12.0 1913.0 8.7 340.9 1.0 0.0 1.0 2.0 34.0 5.3 
14.0 2510.0 11.5 49869.1 0.0 0.0 1.0 4.0 46.0 7.8 
14.0 2440.0 12.9 53728.1 0.0 1.0 1.0 4.0 47.0 7.2 
14.0 2260.0 13.1 52278.2 0.0 1.0 1.0 4.0 48.0 6.7 
15.0 3036.0 15.0 76906.6 0.0 1.0 1.0 1.0 36.0 7.8 
15.0 2333.0 21.4 84737.6 0.0 1.0 1.0 2.0 37.0 7.2 
15.0 2024.0 25.8 84996.4 0.0 1.0 1.0 2.0 38.0 6.7 
11.0 2104.0 12.6 26436.6 0.0 0.0 1.0 1.0 57.0 5.9 
11.0 2090.0 12.8 26771.5 0.0 0.0 1.0 1.0 58.0 7.0 
11.0 2178.0 12.0 26139.1 0.0 0.0 1.0 1.0 59.0 8.9 
14.0 1080.0 33.9 36650.8 0.0 1.0 1.0 0.0 55.0 8.6 
14.0 1120.0 23.5 26276.8 0.0 1.0 0.0 0.0 56.0 7.9 
14.0 0.0 26.6 0.0 0.0 0.0 0.0 0.0 57.0 6.7 
16.0 2662.0 25.3 67293.3 0.0 1.0 1.0 2.0 38.0 6.1 
16.0 2695.0 22.5 62854.8 0.0 1.0 1.0 2.0 39.0 4.9 
16.0 2450.0 23.2 62506.6 0.0 1.0 1.0 2.0 40.0 3.8 
17.0 909.0 93.9 85318.2 0.0 0.0 0.0 0.0 51.0 11.2 
17.0 0.0 35.5 0.0 0.0 0.0 0.0 0.0 52.0 9.9 
17.0 0.0 35.5 0.0 0.0 0.0 1.0 0.0 53.0 5.3 
17.0 2502.0 18.7 64649.6 0.0 1.0 1.0 1.0 38.0 9.5 
17.0 2963.0 18.0 68849.3 0.0 1.0 1.0 1.0 39.0 8.1 
17.0 3360.0 17.6 60024.5 0.0 1.0 1.0 1.0 40.0 8.2 
14.0 1896.0 8.4 32685.3 0.0 0.0 1.0 0.0 43.0 7.8 
14.0 2796.0 6.7 24210.8 0.0 0.0 1.0 0.0 44.0 7.2 
14.0 2172.0 11.0 37788.1 0.0 0.0 1.0 0.0 45.0 6.7 
17.0 3000.0 70.1 222308.0 0.0 1.0 1.0 1.0 47.0 7.8 
17.0 3060.0 79.9 259567.2 0.0 1.0 1.0 1.0 48.0 7.2 
17.0 2695.0 101.6 288666.7 0.0 1.0 1.0 0.0 49.0 6.7 
13.0 1908.0 11.3 33646.6 1.0 1.0 1.0 0.0 51.0 6.3 
13.0 1920.0 12.1 31660.2 1.0 1.0 1.0 0.0 52.0 6.0 
13.0 2000.0 19.9 47959.6 1.0 1.0 1.0 0.0 53.0 5.7 
12.0 1920.0 15.6 42010.2 0.0 0.0 1.0 0.0 41.0 7.0 
12.0 2168.0 17.8 52625.8 0.0 0.0 1.0 0.0 42.0 8.0 
12.0 2440.0 18.3 60487.0 0.0 0.0 1.0 0.0 43.0 7.0 
14.0 3250.0 11.5 49562.7 0.0 0.0 1.0 2.0 38.0 5.6 
14.0 3300.0 10.9 42198.9 0.0 0.0 1.0 2.0 39.0 5.9 
14.0 3000.0 10.1 40936.1 0.0 0.0 1.0 2.0 40.0 7.4 
12.0 2040.0 5.0 14323.8 1.0 0.0 1.0 2.0 34.0 7.2 
12.0 3120.0 4.3 17529.5 0.0 0.0 1.0 2.0 35.0 6.5 
12.0 3060.0 4.3 17081.3 1.0 0.0 1.0 2.0 36.0 6.3 
13.0 2120.0 14.7 31243.3 0.0 1.0 0.0 0.0 43.0 11.2 
13.0 2880.0 10.5 30263.4 0.0 1.0 0.0 0.0 44.0 9.9 
13.0 2920.0 10.5 30685.0 0.0 1.0 0.0 0.0 45.0 8.8 
16.0 3185.0 15.5 50710.3 0.0 1.0 1.0 2.0 39.0 4.6 
16.0 2820.0 22.7 65427.2 0.0 1.0 1.0 2.0 40.0 4.9 
16.0 3409.0 15.0 52050.9 1.0 1.0 1.0 2.0 41.0 3.8 
14.0 3120.0 13.9 62005.9 0.0 1.0 1.0 1.0 34.0 7.2 
14.0 2180.0 14.4 48887.1 0.0 0.0 1.0 1.0 35.0 6.5 
14.0 2510.0 16.3 48948.3 0.0 1.0 1.0 1.0 36.0 6.3 
16.0 1900.0 18.3 52873.3 0.0 1.0 1.0 3.0 42.0 5.3 
16.0 2040.0 18.3 42921.7 0.0 1.0 1.0 3.0 43.0 4.9 
16.0 1112.0 30.7 77280.8 0.0 1.0 1.0 3.0 44.0 4.0 
12.0 2029.0 8.8 27121.6 0.0 0.0 1.0 0.0 51.0 6.3 
12.0 1968.0 9.3 21998.0 0.0 0.0 1.0 0.0 52.0 6.0 
12.0 1960.0 9.4 20603.3 0.0 0.0 1.0 0.0 53.0 5.3 
17.0 1981.0 29.1 57679.9 0.0 1.0 1.0 0.0 54.0 6.3 
